1,17,N30S5_i3,6783000RUE,20260713,101106,F,0,1,,FFPFFPPPPPNN,1,F,0,20260713,101059,0,,,0,0

 823, PR903,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 75, 994, A1, 4.0000000  , 1
 829, HR149,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 636, 1058, A1, 2466.3994378K , 1
 833, PR719,    30.00  ,    30.00  ,  30.0,  30.0, 2, R, 967, 966, A1, 12331.4377736  , 1
 850, PR1101,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 924, 734, A1, 18497.9994378K , 1
 851, PR508,    30.00  ,    30.00  ,  30.0,  30.0, 2, R, 736, 735, A1, 12331.4377736  , 1
 852, PR515,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 736, 993, A1, 2466.3994378K , 1
 854, PC1103,   150.00nF,   150.00nF,  30.0,  30.0, 0, C, 736, 429, A1, 0.0330199nF, 1
 864, HR314,   100.00K ,    60.00K ,  90.0, 150.0, 2, R, 558, 429, A1, 24663.9994378K , 1
 865, R9406,    1.000M ,    1.000M ,  30.0,  30.0, 1, R, 1102, 1132, A1, 99999.9000000M , 1
 866, HR315,   100.00K ,    10.00K ,  30.0,  30.0, 2, R, 429, 1011, A1, 2466.3994378K , 1
 868, HR312,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 614, 429, A1, 2466.3994378K , 1
 870, HR320,    2.200K ,    2.200K ,  30.0,  30.0, 2, R, 494, 1058, A1, 813.9114378K , 1
 871, HR319,    2.200K ,    2.200K ,  30.0,  30.0, 2, R, 664, 1058, A1, 813.9114378K , 1
 872, HR318,    2.200K ,    2.200K ,  35.0,  30.0, 2, R, 663, 1058, A1, 813.9114378K , 1
 880, PR1138,   100.00K ,   100.00K ,  80.0,  80.0, 2, R, 7, 429, A1, 18497.9994378K , 1
 883, PR1108,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 1058, 4, A1, 18497.9994378K , 1
 886, PR1003,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 21, 1132, A1, 2466.3994378K , 1
 889, HR157,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 429, 1262, A1, 24663.9994378K , 1
 890, HR155,   100.00K ,   100.00K ,  30.0,  30.0, 2, R, 429, 1256, A1, 18497.9994378K , 1
 895, HR332,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 1257, 1058, A1, 3699.5994378K , 1
 899, HR164,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 598, 580, A1, 4.0000000  , 1
 902, HR163,    10.00K ,    10.00K ,  90.0,  90.0, 2, R, 571, 580, A1, 3699.5994378K , 1
 904, HR253,    4.700K ,    4.700K ,  30.0,  30.0, 2, R, 631, 1058, A1, 2466.3994378K , 1
 917, VR552,    22.00  ,    22.00  ,  30.0,  30.0, 2, R, 262, 273, A1, 12331.4377736  , 1
 918, VR553,    22.00  ,    22.00  ,  30.0,  30.0, 2, R, 262, 276, A1, 12331.4377736  , 1
 919, VR521,    22.00  ,    22.00  ,  30.0,  30.0, 2, R, 278, 146, A1, 12331.4377736  , 1
 920, VR554,    22.00  ,    22.00  ,  30.0,  30.0, 2, R, 278, 145, A1, 12331.4377736  , 1
 925, XR309,    39.00  ,    39.00  ,  30.0,  30.0, 2, R, 1064, 1010, A1, 24663.4377736  , 1
 931, HR215,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 962, 1040, A1, 12331.4377736  , 1
 933, PR1064,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 617, 992, A1, 2466.3994378K , 1
 936, HR130,    33.00  ,    33.00  ,  30.0,  30.0, 2, R, 1268, 1040, A1, 12331.4377736  , 1
 942, HR129,    10.00  ,    14.10  ,  30.0,  30.0, 2, R, 1121, 492, A1, 12331.4377736  , 1
 954, HR227,    47.00  ,    47.00  ,  80.0,  80.0, 2, R, 17, 12, A1, 24663.4377736  , 1
 956, HR232,   110.00  ,   110.00  ,  30.0,  30.0, 2, R, 17, 16, A1, 81390.6377736  , 1
 961, HC104,    1.000uF,    0.700uF,  90.0,  90.0, 0, C, 429, 671, A1, 0.0002679uF, 1
 962, HR124,    20.00K ,    15.00K ,  90.0,  90.0, 2, R, 388, 671, A1, 24417.3594378K , 1
 963, HR231,    10.00K ,    10.00K ,  90.0,  90.0, 2, R, 22, 924, A1, 2466.3994378K , 1
 968, HR229,    10.00K ,    10.00K ,  30.0,  30.0, 2, R, 18, 1058, A1, 2466.3994378K , 1
 970, HR221,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 18, 8, A1, 4.0000000  , 1
 971, SR15,    1.000K ,    1.000K ,  30.0,  30.0, 2, R, 924, 1174, A1, 813.9114378K , 1
 973, PC1144,    22.00uF,   120.20uF,  30.0,  30.0, 4, C, 620, 429, A1, 99999.0000000uF, 1
 977, HR275,    20.00K ,    20.00K ,  30.0,  30.0, 2, R, 620, 615, A1, 24417.3594378K , 1
 978, PR1061,   100.00  ,   100.00  ,  30.0,  30.0, 2, R, 618, 620, A1, 24663.4377736  , 1
 979, HR135,    1.000  ,    1.000  ,  10.0,  10.0, 0, J, 620, 1260, A1, 4.0000000  , 1
 982, HR262,    20.00K ,    20.00K ,  30.0,  30.0, 2, R, 620, 498, A1, 24417.3594378K , 1
