1,2,N50Q_5,6783000Y8A,20260714,121309,F,0,1,,FFPFFPPPPPNN,1,F,3,20260714,121250,0,,,0,0

 2148, U1_442_1,    0.391V ,    0.391V ,  35.0,  35.0, 2, U, 1, 424, A1, 0.8762566V , 1
 2149, U1_443_1,    0.394V ,    0.394V ,  35.0,  35.0, 2, U, 1, 418, A1, 0.8449255V , 1
 2150, U1_445_1,    0.390V ,    0.390V ,  35.0,  35.0, 2, U, 1, 428, A1, 0.5928413V , 1
 2151, U1_447_1,    0.389V ,    0.389V ,  35.0,  35.0, 2, U, 1, 420, A1, 0.5736711V , 1
 2218, U1_794_1,    0.395V ,    0.395V ,  35.0,  35.0, 2, U, 1, 396, A1, 1.7447438V , 1
 2219, U1_795_1,    0.397V ,    0.397V ,  35.0,  35.0, 2, U, 1, 400, A1, 0.6536456V , 1
 2236, U1_885_1,    0.396V ,    0.396V ,  35.0,  35.0, 2, U, 1, 407, A1, 1.7440682V , 1
 2239, U1_898_1,    0.397V ,    0.397V ,  35.0,  35.0, 2, U, 1, 404, A1, 1.7443216V , 1
 2242, U1_912_1,    0.398V ,    0.398V ,  35.0,  35.0, 2, U, 1, 397, A1, 1.7437304V , 1
 2243, U1_915_1,    0.398V ,    0.398V ,  35.0,  35.0, 2, U, 1, 408, A1, 0.8695006V , 1
 2246, U1_928_1,    0.397V ,    0.397V ,  35.0,  35.0, 2, U, 1, 406, A1, 1.7449972V , 1
 2247, U1_931_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 401, A1, 1.7498108V , 1
 2253, U1_955_1,    0.396V ,    0.396V ,  35.0,  35.0, 2, U, 1, 398, A1, 1.7447438V , 1
 2254, U1_956_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 402, A1, 0.0370737V , 1
 2255, U1_958_1,    0.395V ,    0.395V ,  35.0,  35.0, 2, U, 1, 403, A1, 0.8605489V , 1
 2256, U1_965_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 405, A1, 1.7491352V , 1
 2257, U1_966_1,    0.399V ,    0.399V ,  35.0,  35.0, 2, U, 1, 409, A1, 0.8453478V , 1
 2269, U1_1004_1,    0.718V ,    0.718V ,  35.0,  35.0, 2, U, 1, 439, A1, 2.0661618V , 1
